Trial_Name,Fields_Count,Trial,Response_Time,Response_Size
1campos,1,1,0.6573917001951486,46
1campos,1,2,0.23996039992198348,46
1campos,1,3,0.29245670000091195,46
1campos,1,4,0.27415860001929104,46
1campos,1,5,0.3101007000077516,46
1campos,1,6,0.27885430003516376,46
1campos,1,7,0.24573069997131824,46
1campos,1,8,0.2846148000098765,46
1campos,1,9,0.25433150003664196,46
1campos,1,10,0.2554762000218034,46
1campos,1,11,0.3013287999201566,46
1campos,1,12,0.2703627001028508,46
1campos,1,13,0.23318509990349412,46
1campos,1,14,0.27823469997383654,46
1campos,1,15,0.2728162999264896,46
1campos,1,16,0.23978960001841187,46
1campos,1,17,0.5020411999430507,46
1campos,1,18,0.2647329999599606,46
1campos,1,19,0.2825337001122534,46
1campos,1,20,0.2608443000353873,46
1campos,1,21,0.2642439000774175,46
1campos,1,22,0.27501580002717674,46
1campos,1,23,0.24106190004386008,46
1campos,1,24,0.24044919991865754,46
1campos,1,25,0.24743430013768375,46
1campos,1,26,0.24903959990479052,46
1campos,1,27,0.2738605998456478,46
1campos,1,28,0.3060025000013411,46
1campos,1,29,0.2499101001303643,46
1campos,1,30,0.2694892000872642,46
2campos,2,1,0.30236309999600053,81
2campos,2,2,0.5186455000657588,81
2campos,2,3,0.3019926999695599,81
2campos,2,4,0.25394599977880716,81
2campos,2,5,0.24652499984949827,81
2campos,2,6,0.2793274000287056,81
2campos,2,7,0.2768782000057399,81
2campos,2,8,0.2677014998625964,81
2campos,2,9,0.24175509996712208,81
2campos,2,10,0.270689400145784,81
2campos,2,11,0.26711410004645586,81
2campos,2,12,0.2510073999874294,81
2campos,2,13,0.5084162999410182,81
2campos,2,14,0.24887969996780157,81
2campos,2,15,0.27938749990426004,81
2campos,2,16,0.25655089993961155,81
2campos,2,17,0.26614979980513453,81
2campos,2,18,0.2592334998771548,81
2campos,2,19,0.2700257000979036,81
2campos,2,20,0.2840501999016851,81
2campos,2,21,0.25986409978941083,81
2campos,2,22,0.2524921998847276,81
2campos,2,23,0.27628859994001687,81
2campos,2,24,0.27557500009424984,81
2campos,2,25,0.26776869990862906,81
2campos,2,26,0.24864819995127618,81
2campos,2,27,0.2383014999795705,81
2campos,2,28,0.32665989990346134,81
2campos,2,29,0.24065189994871616,81
2campos,2,30,0.3157514000777155,81
3campos,3,1,0.3383355000987649,116
3campos,3,2,0.2506335999350995,116
3campos,3,3,0.28950730012729764,116
3campos,3,4,0.2803509999066591,116
3campos,3,5,0.2556848998647183,116
3campos,3,6,0.49517530016601086,116
3campos,3,7,0.2545181999448687,116
3campos,3,8,0.23388800001703203,116
3campos,3,9,0.2615219000726938,116
3campos,3,10,0.27752589993178844,116
3campos,3,11,0.24702100013382733,116
3campos,3,12,0.268570699961856,116
3campos,3,13,0.33632749994285405,116
3campos,3,14,0.24652380007319152,116
3campos,3,15,0.2651621999684721,116
3campos,3,16,0.2621321000624448,116
3campos,3,17,0.2896471000276506,116
3campos,3,18,0.26050089998170733,116
3campos,3,19,0.2768645999021828,116
3campos,3,20,0.2771828998811543,116
3campos,3,21,0.2866642000153661,116
3campos,3,22,0.26855480019003153,116
3campos,3,23,0.2902435001451522,116
3campos,3,24,0.26716269995085895,116
3campos,3,25,0.2622247999534011,116
3campos,3,26,0.25905789993703365,116
3campos,3,27,0.27643730002455413,116
3campos,3,28,0.24707370018586516,116
3campos,3,29,0.260101200081408,116
3campos,3,30,0.27211600006558,116
4campos,4,1,0.28539410000666976,138
4campos,4,2,0.32183000002987683,138
4campos,4,3,0.24330019997432828,138
4campos,4,4,0.271540799876675,138
4campos,4,5,0.30935140000656247,138
4campos,4,6,0.2710478000808507,138
4campos,4,7,0.27763440017588437,138
4campos,4,8,0.3074152001645416,138
4campos,4,9,0.26465900009498,138
4campos,4,10,0.25312320003286004,138
4campos,4,11,0.25768370018340647,138
4campos,4,12,0.27483009989373386,138
4campos,4,13,0.315783399855718,138
4campos,4,14,0.2645129000302404,138
4campos,4,15,0.29015300003811717,138
4campos,4,16,0.2477223000023514,138
4campos,4,17,0.3188171999063343,138
4campos,4,18,0.2679663999006152,138
4campos,4,19,0.27010719990357757,138
4campos,4,20,0.2750335999298841,138
4campos,4,21,0.2776925000362098,138
4campos,4,22,0.2733575999736786,138
